,index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
38,78,"[0, 40[",Private,309634,Secondary education,7,Spouse not present,*,Own-child,*,Female,0,0,22,United-States,<=50K
39,80,"[0, 40[",Private,446839,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,30,United-States,<=50K
40,82,"[40, 80[",Private,51618,Secondary education,9,Spouse present,*,Wife,*,Female,0,0,40,United-States,<=50K
41,83,"[40, 80[",Private,159937,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,48,United-States,<=50K
42,85,"[40, 80[",Private,346253,Secondary education,9,Spouse not present,*,Own-child,*,Female,0,0,35,United-States,<=50K
43,86,"[40, 80[",Local-gov,268234,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
44,87,"[0, 40[",Private,202051,Higher education,14,Spouse present,*,Husband,*,Male,0,0,50,United-States,<=50K
45,94,"[0, 40[",Local-gov,226296,Higher education,13,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
46,95,"[0, 40[",Local-gov,115585,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,0,50,United-States,<=50K
47,96,"[40, 80[",Self-emp-not-inc,191277,Higher education,16,Spouse present,*,Husband,*,Male,0,1902,60,United-States,>50K
48,97,"[0, 40[",Private,202683,Higher education,10,Spouse present,*,Husband,*,Male,0,0,48,United-States,>50K
49,99,"[0, 40[",Federal-gov,249409,Secondary education,9,Spouse not present,*,Own-child,*,Male,0,0,40,United-States,<=50K
50,101,"[40, 80[",Private,198282,Higher education,13,Spouse present,*,Husband,*,Male,15024,0,60,United-States,>50K
51,102,"[40, 80[",Self-emp-not-inc,149116,Higher education,14,Spouse not present,*,Not-in-family,*,Female,0,0,50,United-States,<=50K
52,103,"[0, 40[",Private,188300,Higher education,10,Spouse not present,*,Own-child,*,Female,0,0,40,United-States,<=50K
53,104,"[0, 40[",Private,103432,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
54,105,"[0, 40[",Self-emp-inc,317660,Secondary education,9,Spouse present,*,Husband,*,Male,7688,0,40,United-States,>50K
55,106,"[0, 40[",?,304873,Secondary education,6,Spouse not present,*,Own-child,*,Female,34095,0,32,United-States,<=50K
56,108,"[0, 40[",Local-gov,189265,Secondary education,9,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,<=50K
57,109,"[40, 80[",Private,124692,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
58,110,"[0, 40[",Private,432376,Higher education,13,Spouse not present,*,Other-relative,*,Male,0,0,40,United-States,<=50K
59,111,"[0, 40[",Private,65324,Higher education,15,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
60,114,"[0, 40[",Private,102864,Secondary education,9,Spouse not present,*,Own-child,*,Female,0,0,40,United-States,<=50K
61,116,"[40, 80[",Self-emp-inc,303090,Higher education,10,Spouse present,*,Husband,*,Male,0,0,50,United-States,<=50K
62,117,"[40, 80[",Local-gov,197371,Higher education,11,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
63,118,"[40, 80[",Private,247552,Higher education,10,Spouse present,*,Husband,*,Male,0,0,56,United-States,<=50K
64,119,"[0, 40[",Private,102632,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,41,United-States,<=50K
65,120,"[0, 40[",Private,199915,Higher education,10,Spouse not present,*,Own-child,*,Female,0,0,40,United-States,<=50K
66,121,"[40, 80[",Private,118853,Higher education,13,Spouse present,*,Husband,*,Male,0,0,60,United-States,<=50K
67,123,"[0, 40[",State-gov,267989,Higher education,13,Spouse present,*,Husband,*,Male,0,0,50,United-States,>50K
68,124,"[0, 40[",Private,301606,Higher education,10,Spouse not present,*,Own-child,*,Male,0,0,35,United-States,<=50K
69,126,"[0, 40[",Private,111697,Higher education,10,Spouse not present,*,Own-child,*,Female,0,1719,28,United-States,<=50K
70,128,"[0, 40[",?,129305,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
71,129,"[0, 40[",Private,365739,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
72,131,"[0, 40[",Private,43323,Secondary education,9,Spouse not present,*,Not-in-family,*,Female,0,1762,40,United-States,<=50K
73,132,"[0, 40[",Self-emp-not-inc,120985,Secondary education,9,Spouse present,*,Husband,*,Male,4386,0,35,United-States,<=50K
74,133,"[0, 40[",Private,254202,Higher education,13,Spouse present,*,Husband,*,Male,0,0,50,United-States,<=50K
75,136,"[40, 80[",Self-emp-not-inc,56920,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,60,United-States,<=50K
76,138,"[0, 40[",Private,34310,Higher education,10,Spouse not present,*,Own-child,*,Male,0,0,20,United-States,<=50K
77,139,"[40, 80[",Private,81973,Higher education,10,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
78,140,"[40, 80[",Self-emp-inc,66614,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
79,141,"[0, 40[",Private,232782,Higher education,10,Spouse not present,*,Own-child,*,Female,0,0,40,United-States,<=50K
80,146,"[0, 40[",Private,175374,Higher education,10,Spouse present,*,Husband,*,Male,0,0,24,United-States,<=50K
81,151,"[0, 40[",Private,198183,Secondary education,9,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,<=50K
82,153,"[0, 40[",Private,296158,Secondary education,9,Spouse not present,*,Own-child,*,Male,0,0,35,United-States,<=50K
83,155,"[40, 80[",Private,187715,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,46,United-States,<=50K
84,158,"[0, 40[",Private,191535,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,60,United-States,<=50K
85,161,"[0, 40[",Private,252752,Secondary education,9,Spouse not present,*,Unmarried,*,Female,0,0,40,United-States,<=50K
86,162,"[40, 80[",Self-emp-inc,78374,Higher education,14,Spouse not present,*,Unmarried,*,Female,0,0,40,United-States,<=50K
87,164,"[40, 80[",Self-emp-not-inc,201080,Higher education,14,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
88,168,"[0, 40[",Private,25828,Secondary education,7,Spouse not present,*,Own-child,*,Male,0,0,16,United-States,<=50K
89,170,"[0, 40[",Private,124953,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,1980,40,United-States,<=50K
90,171,"[0, 40[",State-gov,175325,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
91,172,"[40, 80[",Private,96062,Higher education,10,Spouse present,*,Husband,*,Male,0,1977,40,United-States,>50K
92,173,"[0, 40[",Private,428030,Higher education,13,Spouse not present,*,Not-in-family,*,Male,0,0,50,United-States,<=50K
93,174,"[0, 40[",State-gov,149624,Higher education,13,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
94,176,"[0, 40[",Private,312956,Secondary education,9,Spouse not present,*,Own-child,*,Male,0,0,40,United-States,<=50K
95,177,"[0, 40[",Private,483777,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
96,178,"[0, 40[",Private,183930,Secondary education,9,Spouse not present,*,Own-child,*,Male,0,0,12,United-States,<=50K
97,179,"[0, 40[",Private,37274,Higher education,13,Spouse present,*,Husband,*,Male,0,0,65,United-States,<=50K
98,180,"[40, 80[",Local-gov,181344,Higher education,10,Spouse present,*,Husband,*,Male,0,0,38,United-States,>50K
99,181,"[40, 80[",Private,114580,Higher education,10,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,<=50K
100,182,"[0, 40[",Private,633742,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,0,45,United-States,<=50K
101,184,"[0, 40[",Federal-gov,29054,Higher education,10,Spouse present,*,Husband,*,Male,0,0,42,United-States,>50K
102,185,"[0, 40[",Private,304030,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
103,186,"[40, 80[",Self-emp-not-inc,143129,Higher education,13,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,<=50K
104,189,"[40, 80[",State-gov,109567,Higher education,16,Spouse present,*,Husband,*,Male,0,0,1,United-States,>50K
105,192,"[40, 80[",Local-gov,523910,Higher education,13,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
106,193,"[40, 80[",Private,120939,Higher education,10,Spouse present,*,Husband,*,Male,0,0,45,United-States,<=50K
107,194,"[40, 80[",Federal-gov,130760,Higher education,13,Spouse present,*,Husband,*,Male,0,0,24,United-States,<=50K
108,196,"[0, 40[",Private,99374,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
109,197,"[40, 80[",Federal-gov,56795,Higher education,14,Spouse not present,*,Not-in-family,*,Female,14084,0,55,United-States,>50K
110,198,"[0, 40[",Private,138992,Higher education,14,Spouse present,*,Other-relative,*,Male,7298,0,40,United-States,>50K
111,199,"[0, 40[",Self-emp-not-inc,32921,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
112,200,"[0, 40[",Private,397317,Higher education,14,Spouse not present,*,Not-in-family,*,Female,0,1876,40,United-States,<=50K
113,202,"[40, 80[",Private,259323,Higher education,13,Spouse present,*,Husband,*,Male,0,0,50,United-States,>50K
114,204,"[0, 40[",State-gov,48211,Secondary education,9,Spouse not present,*,Unmarried,*,Female,0,0,35,United-States,<=50K
115,205,"[0, 40[",Private,140164,Secondary education,7,Spouse not present,*,Own-child,*,Female,0,0,40,United-States,<=50K
116,207,"[0, 40[",Private,36270,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,60,United-States,<=50K
117,209,"[0, 40[",Private,65368,Secondary education,7,Spouse not present,*,Own-child,*,Female,0,0,12,United-States,<=50K
118,210,"[40, 80[",Local-gov,160943,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
119,211,"[0, 40[",Private,208358,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
120,213,"[40, 80[",Private,85815,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
121,215,"[0, 40[",Private,635913,Higher education,13,Spouse not present,*,Not-in-family,*,Male,0,0,60,United-States,>50K
122,218,"[40, 80[",Private,109434,Higher education,13,Spouse present,*,Husband,*,Male,0,0,55,United-States,<=50K
123,220,"[0, 40[",Private,197860,Higher education,10,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
124,223,"[40, 80[",Private,176681,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,20,United-States,<=50K
125,225,"[0, 40[",Private,243313,Secondary education,9,Spouse not present,*,Own-child,*,Female,0,0,40,United-States,<=50K
126,227,"[40, 80[",Self-emp-not-inc,167687,Secondary education,9,Spouse present,*,Husband,*,Male,1409,0,50,United-States,<=50K
127,232,"[0, 40[",Private,159732,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,0,42,United-States,<=50K
128,234,"[0, 40[",Private,76714,Higher education,15,Spouse not present,*,Not-in-family,*,Male,0,0,55,United-States,>50K
129,235,"[40, 80[",State-gov,268700,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
130,236,"[40, 80[",State-gov,170525,Higher education,10,Spouse not present,*,Not-in-family,*,Female,0,0,38,United-States,<=50K
131,238,"[0, 40[",Local-gov,115076,Higher education,14,Spouse present,*,Husband,*,Male,0,0,70,United-States,>50K
132,239,"[0, 40[",Private,115458,Secondary education,9,Spouse not present,*,Own-child,*,Male,0,0,40,United-States,<=50K
133,240,"[40, 80[",Private,347890,Higher education,13,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
134,243,"[0, 40[",?,119156,Higher education,10,Spouse not present,*,Own-child,*,Male,0,0,20,United-States,<=50K
135,244,"[0, 40[",Private,179488,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,1741,40,United-States,<=50K
136,246,"[40, 80[",Private,236596,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,45,United-States,>50K
137,247,"[0, 40[",Private,183916,Secondary education,9,Spouse not present,*,Not-in-family,*,Female,0,0,34,United-States,<=50K
138,248,"[40, 80[",Private,207578,Higher education,12,Spouse present,*,Husband,*,Male,0,1977,60,United-States,>50K
139,253,"[0, 40[",Local-gov,27382,Higher education,10,Spouse not present,*,Own-child,*,Male,0,0,40,United-States,<=50K
140,256,"[0, 40[",Private,117789,Secondary education,9,Spouse not present,*,Own-child,*,Female,0,0,40,United-States,<=50K
141,257,"[0, 40[",Private,172579,Secondary education,9,Spouse not present,*,Not-in-family,*,Female,0,0,30,United-States,<=50K
142,260,"[0, 40[",Private,150042,Higher education,13,Spouse not present,*,Own-child,*,Female,0,0,40,United-States,<=50K
143,261,"[40, 80[",Private,98092,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,60,United-States,<=50K
144,262,"[0, 40[",Private,245918,Secondary education,7,Spouse not present,*,Own-child,*,Male,0,0,12,United-States,<=50K
145,263,"[40, 80[",Private,146013,Higher education,10,Spouse present,*,Husband,*,Male,4064,0,40,United-States,<=50K
146,264,"[0, 40[",Private,378322,Secondary education,7,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
147,267,"[40, 80[",Private,21174,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
148,268,"[0, 40[",Private,185480,Higher education,13,Spouse not present,*,Not-in-family,*,Female,0,0,45,United-States,<=50K
149,270,"[40, 80[",Private,69867,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
150,271,"[0, 40[",Private,191260,Secondary education,5,Spouse not present,*,Own-child,*,Male,1055,0,24,United-States,<=50K
151,273,"[0, 40[",Local-gov,209109,Higher education,14,Spouse not present,*,Own-child,*,Male,0,0,35,United-States,<=50K
152,275,"[40, 80[",Private,477983,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
153,276,"[40, 80[",Private,170924,Higher education,10,Spouse present,*,Husband,*,Male,7298,0,40,United-States,>50K
154,278,"[0, 40[",Private,193787,Higher education,10,Spouse not present,*,Own-child,*,Female,0,0,40,United-States,<=50K
155,281,"[40, 80[",Local-gov,97688,Higher education,10,Spouse present,*,Husband,*,Male,5178,0,40,United-States,>50K
156,284,"[0, 40[",Private,205759,Secondary education,9,Spouse not present,*,Own-child,*,Male,0,0,40,United-States,<=50K
157,286,"[40, 80[",Private,220531,Higher education,15,Spouse present,*,Husband,*,Male,0,0,60,United-States,>50K
158,288,"[0, 40[",Private,371987,Higher education,13,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,<=50K
159,290,"[0, 40[",Private,200352,Higher education,13,Spouse present,*,Husband,*,Male,0,0,45,United-States,<=50K
160,293,"[0, 40[",Private,231931,Higher education,10,Spouse not present,*,Own-child,*,Male,0,0,45,United-States,<=50K
161,294,"[0, 40[",Private,248402,Higher education,13,Spouse not present,*,Unmarried,*,Female,0,0,40,United-States,<=50K
162,298,"[0, 40[",Private,278130,Secondary education,9,Spouse not present,*,Own-child,*,Male,0,0,40,United-States,<=50K
163,300,"[40, 80[",Private,146268,Higher education,13,Spouse present,*,Husband,*,Male,7688,0,40,United-States,>50K
164,301,"[0, 40[",Private,153718,Higher education,10,Spouse not present,*,Not-in-family,*,Female,0,0,25,United-States,<=50K
165,302,"[0, 40[",Private,217460,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,45,United-States,>50K
166,303,"[40, 80[",Private,238638,Secondary education,9,Spouse present,*,Husband,*,Male,4386,0,40,United-States,>50K
167,305,"[40, 80[",Private,173321,Secondary education,9,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,<=50K
168,309,"[40, 80[",Self-emp-inc,34987,Higher education,10,Spouse present,*,Husband,*,Male,0,0,54,United-States,>50K
169,310,"[0, 40[",Private,59306,Higher education,13,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
170,312,"[0, 40[",?,860348,Higher education,10,Spouse not present,*,Own-child,*,Female,0,0,25,United-States,<=50K
171,313,"[0, 40[",Self-emp-not-inc,205607,Higher education,13,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,>50K
172,314,"[0, 40[",Private,199698,Higher education,10,Spouse not present,*,Own-child,*,Male,0,0,15,United-States,<=50K
173,315,"[0, 40[",Private,191954,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
174,318,"[0, 40[",Private,423158,Higher education,10,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,<=50K
175,319,"[40, 80[",Private,159841,Secondary education,9,Spouse not present,*,Not-in-family,*,Female,0,0,24,United-States,<=50K
176,320,"[0, 40[",Self-emp-not-inc,174308,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
177,321,"[40, 80[",Private,50356,Higher education,10,Spouse present,*,Husband,*,Male,0,1485,50,United-States,<=50K
178,322,"[0, 40[",Private,186110,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,45,United-States,<=50K
179,325,"[40, 80[",Self-emp-not-inc,78383,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,45,United-States,<=50K
180,328,"[40, 80[",Self-emp-not-inc,321171,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
181,330,"[40, 80[",Private,206565,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,0,45,United-States,<=50K
182,331,"[0, 40[",Private,224563,Higher education,13,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
183,334,"[40, 80[",Private,242606,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
184,336,"[0, 40[",Private,94235,Secondary education,9,Spouse not present,*,Other-relative,*,Male,0,0,40,United-States,<=50K
185,339,"[40, 80[",Private,261192,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
186,340,"[0, 40[",Private,94936,Higher education,12,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
187,341,"[0, 40[",Private,296478,Higher education,11,Spouse present,*,Husband,*,Male,7298,0,40,United-States,>50K
188,342,"[0, 40[",State-gov,119272,Secondary education,9,Spouse present,*,Husband,*,Male,7298,0,40,United-States,>50K
189,343,"[0, 40[",Private,85043,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,20,United-States,<=50K
190,345,"[40, 80[",Self-emp-not-inc,241895,Higher education,13,Spouse not present,*,Not-in-family,*,Male,0,0,42,United-States,<=50K
191,349,"[0, 40[",Private,156464,Higher education,13,Spouse not present,*,Own-child,*,Male,0,0,25,United-States,<=50K
192,350,"[0, 40[",Private,117963,Higher education,13,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
193,351,"[0, 40[",Private,192262,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
194,352,"[0, 40[",Private,111363,Higher education,13,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
195,355,"[0, 40[",Federal-gov,95432,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
196,358,"[40, 80[",Private,111949,Secondary education,9,Spouse present,*,Wife,*,Female,0,0,35,United-States,<=50K
197,363,"[40, 80[",Private,174575,Higher education,13,Spouse not present,*,Not-in-family,*,Male,0,1564,45,United-States,>50K
198,365,"[0, 40[",Private,92262,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
199,366,"[40, 80[",Self-emp-not-inc,183081,Higher education,10,Spouse present,*,Husband,*,Male,0,0,45,United-States,<=50K
200,369,"[0, 40[",Private,481060,Secondary education,9,Spouse not present,*,Unmarried,*,Female,0,0,40,United-States,<=50K
201,370,"[0, 40[",Federal-gov,185885,Higher education,10,Spouse not present,*,Unmarried,*,Female,0,0,15,United-States,<=50K
202,371,"[0, 40[",Private,89821,Secondary education,7,Spouse not present,*,Own-child,*,Male,0,0,10,United-States,<=50K
203,373,"[40, 80[",Private,256649,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
204,374,"[40, 80[",Private,160323,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
205,375,"[0, 40[",Local-gov,350845,Higher education,10,Spouse not present,*,Own-child,*,Female,0,0,10,United-States,<=50K
206,377,"[0, 40[",Private,35633,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
207,379,"[0, 40[",Private,172927,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,50,United-States,<=50K
208,380,"[40, 80[",Private,174319,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
209,382,"[0, 40[",Private,344991,Higher education,10,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
210,385,"[0, 40[",Private,396099,Secondary education,9,Spouse not present,*,Not-in-family,*,Female,0,0,25,United-States,<=50K
211,387,"[40, 80[",Private,162028,Higher education,10,Spouse present,*,Wife,*,Female,0,2415,6,United-States,>50K
212,388,"[0, 40[",Private,25429,Higher education,10,Spouse not present,*,Own-child,*,Female,0,0,16,United-States,<=50K
213,389,"[0, 40[",Private,232392,Secondary education,9,Spouse not present,*,Other-relative,*,Female,0,0,40,United-States,<=50K
214,391,"[0, 40[",Private,301302,Higher education,13,Spouse not present,*,Not-in-family,*,Male,0,0,50,United-States,<=50K
215,394,"[0, 40[",Private,196164,Secondary education,9,Spouse not present,*,Not-in-family,*,Female,0,0,35,United-States,<=50K
216,395,"[40, 80[",Private,115562,Higher education,10,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
217,397,"[0, 40[",?,137300,Secondary education,9,Spouse not present,*,Other-relative,*,Female,0,0,35,United-States,<=50K
218,398,"[0, 40[",Private,86872,Higher education,13,Spouse present,*,Husband,*,Male,0,0,55,United-States,>50K
219,399,"[40, 80[",Self-emp-inc,132178,Higher education,13,Spouse present,*,Husband,*,Male,0,0,50,United-States,>50K
220,400,"[0, 40[",Private,416103,Higher education,10,Spouse not present,*,Own-child,*,Male,0,0,40,United-States,<=50K
221,401,"[0, 40[",Private,108574,Higher education,10,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,<=50K
222,405,"[40, 80[",Private,445382,Higher education,14,Spouse present,*,Husband,*,Male,0,1977,65,United-States,>50K
223,406,"[0, 40[",Private,110145,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
224,407,"[40, 80[",Self-emp-not-inc,317253,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,25,United-States,<=50K
225,409,"[0, 40[",Private,364657,Higher education,10,Spouse present,*,Husband,*,Male,0,0,50,United-States,<=50K
226,410,"[40, 80[",Local-gov,42346,Higher education,10,Spouse not present,*,Not-in-family,*,Female,0,0,24,United-States,<=50K
227,411,"[0, 40[",Private,241951,Secondary education,9,Spouse not present,*,Unmarried,*,Female,0,0,40,United-States,<=50K
228,414,"[0, 40[",State-gov,1033222,Higher education,10,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
229,421,"[0, 40[",Private,175024,Secondary education,7,Spouse not present,*,Own-child,*,Male,2176,0,18,United-States,<=50K
